name,q_0.500,q_0.025,q_0.975
FCBF (iter) NFS no,7,5,11
FCBF (knn) NFS no,8,6,10
RFECV Classif (iter) NFS no,10,3,22
RFECV Classif (knn) NFS no,11.5,3,25
RFECV Regress (iter) NFS no,46,23.425,70
RFECV Regress (knn) NFS no,46,28,70.15
GA Classif[KNN;pm=0.001] (iter) NFS no,47,40,55
GA Classif[KNN;pm=0.001] (knn) NFS no,41,31,50
GA Classif[KNN;pm=0.020] (iter) NFS no,42,33.475,49
GA Classif[KNN;pm=0.020] (knn) NFS no,37,30,46.525
GA Classif[LogReg;pm=0.001] (iter) NFS no,43,36,55
GA Classif[LogReg;pm=0.001] (knn) NFS no,43,32,55.525
GA Classif[LogReg;pm=0.020] (iter) NFS no,38,32,45.525
GA Classif[LogReg;pm=0.020] (knn) NFS no,38,31,46.525
GA Regress[KNN;pm=0.001] (iter) NFS no,48,39,58
GA Regress[KNN;pm=0.001] (knn) NFS no,41,31.95,48.525
GA Regress[KNN;pm=0.020] (iter) NFS no,41,32,49.525
GA Regress[KNN;pm=0.020] (knn) NFS no,36,29,45
GA Regress[Ridge;pm=0.001] (iter) NFS no,50.5,40.95,61
GA Regress[Ridge;pm=0.001] (knn) NFS no,52,42.95,60.575
GA Regress[Ridge;pm=0.020] (iter) NFS no,47,40,54.525
GA Regress[Ridge;pm=0.020] (knn) NFS no,48,39,56
BPSO Classif[KNN;Vm=2] (iter) NFS no,53,44.475,63.525
BPSO Classif[KNN;Vm=2] (knn) NFS no,51,43,63.525
BPSO Classif[KNN;Vm=6] (iter) NFS no,53,43.95,61.525
BPSO Classif[KNN;Vm=6] (knn) NFS no,52,45,59
BPSO Classif[LogReg;Vm=2] (iter) NFS no,52.5,44,62.525
BPSO Classif[LogReg;Vm=2] (knn) NFS no,53,46,61.05
BPSO Classif[LogReg;Vm=6] (iter) NFS no,53,40.425,59
BPSO Classif[LogReg;Vm=6] (knn) NFS no,52.5,44.475,59.525
BPSO Regress[KNN;Vm=2] (iter) NFS no,53,45,61.525
BPSO Regress[KNN;Vm=2] (knn) NFS no,50,42.475,58
BPSO Regress[KNN;Vm=6] (iter) NFS no,53,46.475,62
BPSO Regress[KNN;Vm=6] (knn) NFS no,50,41.95,58.525
BPSO Regress[Ridge;Vm=2] (iter) NFS no,60,51,68.05
BPSO Regress[Ridge;Vm=2] (knn) NFS no,60,51,68.525
BPSO Regress[Ridge;Vm=6] (iter) NFS no,60,50.475,67.525
BPSO Regress[Ridge;Vm=6] (knn) NFS no,60,51,66
Emb Classif[C=0.0050] (iter) NFS no,5,3,7
Emb Classif[C=0.0050] (knn) NFS no,4,3,7
Emb Classif[C=0.0100] (iter) NFS no,17,13,21
Emb Classif[C=0.0100] (knn) NFS no,13,10,16
Emb Classif[C=0.0250] (iter) NFS no,39,32,45
Emb Classif[C=0.0250] (knn) NFS no,34,28.475,40
Emb Classif[C=0.0500] (iter) NFS no,63.5,54.475,69
Emb Classif[C=0.0500] (knn) NFS no,59,51.475,65
Emb Classif[C=0.0750] (iter) NFS no,79,70.475,87
Emb Classif[C=0.0750] (knn) NFS no,75,69,83
Emb Regress[a=0.0050] (iter) NFS no,77.5,71,86.525
Emb Regress[a=0.0050] (knn) NFS no,73,66.475,83
Emb Regress[a=0.0100] (iter) NFS no,54,47.475,61
Emb Regress[a=0.0100] (knn) NFS no,51,43.475,57
Emb Regress[a=0.0250] (iter) NFS no,31,25.475,37
Emb Regress[a=0.0250] (knn) NFS no,28,23,33
Emb Regress[a=0.0500] (iter) NFS no,19,16,24
Emb Regress[a=0.0500] (knn) NFS no,16,13,19.525
Emb Regress[a=0.0750] (iter) NFS no,13,10,17
Emb Regress[a=0.0750] (knn) NFS no,11,8.475,14
